census_tract,population,housing_units,group_qtr_flag,ct_grp_qtr,pct_grp_qtr,mf_ia_110,mf_ia_h110,mf_ia_120,mf_ia_vehicle,f_vehicle_access_flag,low_income,prop_in_pov,median_income,mf_a_110,mf_a_h110,mf_a_120,mf_a_h1,mf_a_1,f_v_access_add_flag,ct_a_h1,prop_a_h1,ct_ai_h1,prop_ai_h1,ct_a_kids_h1,prop_a_kids_h1,ct_a_sen_h1,prop_a_sen_h1,ct_a_wht_h1,prop_a_wht_h1,ct_a_black_h1,prop_a_black_h1,ct_a_asian_h1,prop_a_asian_h1,ct_a_islander_h1,prop_a_islander_h1,ct_a_native_h1,prop_a_native_h1,ct_a_mult_h1,prop_a_mult_h1,ct_a_his_h1,prop_a_his_h1,ct_va_h1,prop_va_h1,ct_snap_h1,prop_snap_h1,ct_i_pop,ct_kids,ct_seniors,ct_white,ct_black,ct_asian,ct_islander,ct_native,ct_multi,ct_hispanic,ct_housing_no_vehicle,ct_snap,ho_tooth_loss,ho_arthritis,ub_alcoholic,ho_cancer,prev_c_cancer_screen,prev_chol_screen,ho_kidney_disease,ho_pulmonary,ho_ht_disease,ho_asthma,prev_lack_insurance,ub_smoker,ho_diabetes,prev_blood_test,ho_blood_pressure,ho_choles_screened,prev_mamm_use,ho_mental_health,ub_no_activity,ub_obesity,prev_clinical_services_m,prev_clinical_services_f,ho_physical_health,ub_sleep,ho_stroke,prev_med_bpressure,prev_dr_visits,prev_checkups,state,mrfei,geometry
17031160800,5148,1821,0,0.0,0.0,0,0,0,0,0,1,7.5,63571.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568.0,1206.0,433.0,2876.0,177.0,339.0,0.0,26.0,1730.0,2973.0,275.0,172.0,9.1,16.3,24.2,4.7,82.3,81.7,2.3,4.6,4.1,8.4,23.0,15.0,8.1,60.2,23.3,26.9,78.1,11.7,23.3,28.2,30.2,27.8,9.8,34.8,2.1,65.5,65.4,71.1,IL,5.7142857142857135,"[(-87.71781299999999, 41.953790999999995), (-87.715362, 41.953824999999995), (-87.71290499999999, 41.953859), (-87.710465, 41.953891), (-87.70801499999999, 41.953914999999995), (-87.70791799999999, 41.950281), (-87.707871, 41.948451999999996), (-87.707822, 41.946631), (-87.712713, 41.946566999999995), (-87.716388, 41.946518999999995), (-87.717559, 41.946504), (-87.71781299999999, 41.953790999999995)]"
17031160900,2405,1001,0,4.0,0.17,0,0,0,0,0,0,9.4,96991.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,506.0,236.0,1808.0,81.0,137.0,0.0,23.0,356.0,755.0,165.0,52.0,6.3,18.3,23.9,5.8,85.4,85.6,2.2,4.4,4.2,8.1,13.8,12.4,7.3,65.3,25.0,28.8,79.7,9.8,18.2,26.3,34.3,30.4,8.6,32.4,2.1,69.5,73.8,73.8,IL,4.545454545454546,"[(-87.72761799999999, 41.953662), (-87.72271099999999, 41.953725999999996), (-87.719038, 41.953775), (-87.71781299999999, 41.953790999999995), (-87.717559, 41.946504), (-87.718764, 41.946487999999995), (-87.719768, 41.946475), (-87.722506, 41.946439), (-87.724362, 41.946413), (-87.72465799999999, 41.946408999999996), (-87.724707, 41.946408), (-87.724954, 41.946405), (-87.727401, 41.946373), (-87.727508, 41.950032), (-87.72761799999999, 41.953662)]"
17031161000,1707,783,0,2.0,0.12,0,0,0,0,0,0,6.4,119750.0,0,1,0,1,0,0,943.0,55.23,151.0,8.87,177.0,10.37,84.0,4.9,781.0,45.74,29.0,1.72,28.0,1.63,0.0,0.0,4.0,0.21,101.0,5.93,179.0,10.47,96.0,12.25,21.0,2.65,342.0,342.0,151.0,1362.0,63.0,47.0,0.0,8.0,227.0,414.0,144.0,38.0,6.1,17.7,25.4,5.7,85.9,84.7,2.0,4.3,3.9,8.3,12.8,12.8,6.4,66.9,23.7,27.8,79.3,10.1,16.8,25.6,34.9,31.1,8.1,31.9,2.0,68.0,74.5,72.9,IL,4.3478260869565215,"[(-87.73397, 41.953578), (-87.72761799999999, 41.953662), (-87.727508, 41.950032), (-87.727401, 41.946373), (-87.73128, 41.946323), (-87.73374799999999, 41.946293), (-87.73385999999999, 41.949953), (-87.73397, 41.953578)]"
17031161100,1861,808,0,2.0,0.11,0,0,0,0,0,0,2.1,123750.0,0,0,0,0,0,0,394.0,21.17,45.0,2.41,72.0,3.87,60.0,3.22,325.0,17.48,18.0,0.94,11.0,0.6,0.0,0.0,1.0,0.05,39.0,2.09,58.0,3.12,15.0,1.87,23.0,2.86,225.0,450.0,157.0,1486.0,86.0,110.0,0.0,14.0,165.0,301.0,51.0,86.0,5.8,17.5,25.1,5.8,87.1,86.7,2.0,4.2,3.9,8.1,11.5,12.2,6.4,67.4,23.3,27.7,79.2,9.5,16.1,25.1,36.4,32.3,8.0,32.0,2.0,67.7,76.0,73.4,IL,10.714285714285714,"[(-87.74275, 41.953474), (-87.742526, 41.953474), (-87.740966, 41.953491), (-87.73543599999999, 41.953559), (-87.73397, 41.953578), (-87.73385999999999, 41.949953), (-87.73374799999999, 41.946293), (-87.735627, 41.946267), (-87.736015, 41.946264), (-87.742361, 41.946185), (-87.74255699999999, 41.953103), (-87.74275, 41.953474)]"
17031161200,2930,950,0,0.0,0.0,0,0,0,0,0,0,11.8,67931.0,0,0,0,0,0,0,476.0,16.25,152.0,5.2,111.0,3.8,45.0,1.54,313.0,10.7,3.0,0.11,38.0,1.28,0.0,0.0,2.0,0.07,120.0,4.09,285.0,9.73,22.0,2.29,14.0,1.53,969.0,734.0,223.0,1681.0,55.0,203.0,1.0,60.0,930.0,1878.0,103.0,90.0,10.5,17.0,23.0,4.6,81.3,81.6,2.4,4.9,4.5,8.4,25.9,15.7,9.1,56.6,25.0,28.4,77.6,11.9,25.8,29.3,27.9,26.2,10.7,35.1,2.3,66.8,63.1,71.2,IL,10.526315789473683,"[(-87.74296, 41.942532), (-87.742228, 41.942541), (-87.742361, 41.946185), (-87.736015, 41.946264), (-87.735627, 41.946267), (-87.73477, 41.945749), (-87.734764, 41.94553), (-87.734679, 41.942636), (-87.734651, 41.941727), (-87.734567, 41.938995), (-87.73521199999999, 41.938986), (-87.736026, 41.938976), (-87.738265, 41.938945), (-87.742154, 41.938891), (-87.742192, 41.940715999999995), (-87.74289499999999, 41.940694), (-87.74296, 41.942532)]"
17031161300,4117,1503,0,47.0,1.14,0,0,0,0,0,1,8.1,52703.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.0,971.0,392.0,2639.0,139.0,143.0,6.0,26.0,1164.0,2372.0,355.0,100.0,13.0,19.8,22.4,5.2,80.3,80.7,2.8,6.4,5.4,9.1,26.2,18.0,9.9,58.0,27.3,29.8,77.3,13.2,27.3,31.5,27.5,25.2,12.3,35.9,2.9,68.8,59.9,71.7,IL,11.111111111111109,"[(-87.735627, 41.946267), (-87.73374799999999, 41.946293), (-87.73128, 41.946323), (-87.727401, 41.946373), (-87.727328, 41.943984), (-87.72724699999999, 41.941168), (-87.72718499999999, 41.939094999999995), (-87.729644, 41.939062), (-87.73299399999999, 41.939015999999995), (-87.734567, 41.938995), (-87.734651, 41.941727), (-87.734679, 41.942636), (-87.734764, 41.94553), (-87.73477, 41.945749), (-87.735627, 41.946267)]"
17031170100,1752,994,0,116.0,6.62,0,0,0,0,0,0,10.3,74205.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,125.0,696.0,1557.0,61.0,80.0,0.0,1.0,53.0,176.0,199.0,93.0,12.7,35.0,15.4,11.7,81.2,88.0,4.5,10.1,10.6,9.2,15.4,14.7,13.2,64.0,41.4,40.0,75.5,10.8,28.3,27.3,31.6,25.2,14.6,31.4,5.3,82.5,66.3,80.8,IL,8.571428571428571,"[(-87.80729099999999, 41.953866), (-87.801301, 41.956723), (-87.797709, 41.958438), (-87.794204, 41.960072), (-87.786805, 41.960217), (-87.786699, 41.956565999999995), (-87.786559, 41.952915999999995), (-87.796272, 41.952743), (-87.798707, 41.952743), (-87.801137, 41.952748), (-87.803607, 41.952753), (-87.80726899999999, 41.952765), (-87.80729099999999, 41.953866)]"
17031170200,3892,1240,0,7.0,0.18,0,0,0,0,0,0,8.1,71989.0,0,1,0,1,0,0,776.0,19.94,162.0,4.17,162.0,4.16,91.0,2.35,665.0,17.08,7.0,0.17,23.0,0.59,0.0,0.0,1.0,0.02,81.0,2.08,279.0,7.16,14.0,1.1,26.0,2.09,711.0,856.0,475.0,3201.0,23.0,162.0,1.0,25.0,480.0,1289.0,73.0,127.0,9.2,20.8,23.5,6.3,82.9,83.2,2.5,5.9,5.1,8.8,17.4,15.4,8.4,63.1,27.4,30.9,77.5,11.6,22.0,27.3,32.4,28.6,10.4,33.5,2.6,71.1,69.2,73.4,IL,9.523809523809524,"[(-87.786559, 41.952915999999995), (-87.78165899999999, 41.952981), (-87.77922099999999, 41.953013999999996), (-87.776775, 41.953056), (-87.776642, 41.949414), (-87.776608, 41.948501), (-87.77650299999999, 41.945771), (-87.781373, 41.945721), (-87.783812, 41.945696999999996), (-87.786307, 41.945662999999996), (-87.786363, 41.948389999999996), (-87.786559, 41.952915999999995)]"
17031170300,5129,1838,0,4.0,0.08,0,0,0,0,0,0,8.4,83003.0,0,1,0,1,0,0,1268.0,24.72,283.0,5.52,235.0,4.58,188.0,3.66,1050.0,20.48,9.0,0.17,42.0,0.81,0.0,0.0,3.0,0.06,164.0,3.2,350.0,6.82,35.0,1.92,47.0,2.58,1294.0,1028.0,719.0,4200.0,53.0,216.0,0.0,24.0,636.0,1343.0,145.0,201.0,10.5,22.2,22.8,6.7,81.9,83.3,2.7,6.5,5.9,8.9,17.3,16.4,9.0,61.8,28.9,31.8,76.5,11.9,23.2,27.8,31.4,27.2,11.1,33.5,2.9,72.6,67.1,73.7,IL,5.128205128205129,"[(-87.80726899999999, 41.952765), (-87.803607, 41.952753), (-87.801137, 41.952748), (-87.798707, 41.952743), (-87.796272, 41.952743), (-87.786559, 41.952915999999995), (-87.786363, 41.948389999999996), (-87.786307, 41.945662999999996), (-87.792327, 41.945549), (-87.795987, 41.945479), (-87.798413, 41.945429999999995), (-87.80084099999999, 41.945386), (-87.803308, 41.945336), (-87.80700499999999, 41.945265), (-87.80713399999999, 41.948899), (-87.80726899999999, 41.952765)]"
17031170400,3870,1470,0,0.0,0.0,0,0,0,0,0,0,11.9,74671.0,0,1,0,1,0,0,2251.0,58.16,650.0,16.79,439.0,11.35,334.0,8.64,1939.0,50.11,21.0,0.54,86.0,2.21,1.0,0.03,7.0,0.19,197.0,5.09,428.0,11.05,26.0,1.76,40.0,2.7,1370.0,731.0,627.0,3331.0,34.0,140.0,1.0,10.0,354.0,740.0,83.0,69.0,10.3,23.3,22.7,7.1,82.6,84.0,2.8,6.8,6.1,9.0,16.3,16.5,9.1,63.4,29.6,32.4,76.4,11.8,22.6,27.6,32.4,27.8,11.3,33.3,3.0,73.3,67.9,74.2,IL,0.0,"[(-87.818505, 41.950751), (-87.818303, 41.952501), (-87.81343299999999, 41.952624), (-87.812225, 41.952650999999996), (-87.80726899999999, 41.952765), (-87.80713399999999, 41.948899), (-87.80700499999999, 41.945265), (-87.810655, 41.945192), (-87.811825, 41.945170999999995), (-87.814337, 41.945119999999996), (-87.815799, 41.945100000000004), (-87.81800899999999, 41.945257), (-87.818283, 41.946424), (-87.818388, 41.948411), (-87.818505, 41.950751)]"
