censustract,state_x,county,urban,pop2010,ohu2010,groupquartersflag,numgqtrs,pctgqtrs,lilatracts_1and10,lilatracts_halfand10,lilatracts_1and20,lilatracts_vehicle,hunvflag,lowincometracts,povertyrate,medianfamilyincome,la1and10,lahalfand10,la1and20,latracts_half,latracts1,latractsvehicle_20,lapop1_10,lapop05_10,lapop1_20,lalowi1_10,lalowi05_10,lalowi1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,tractlowi,tractkids,tractseniors,tractwhite,tractblack,tractasian,tractnhopi,tractaian,tractomultir,tracthispanic,tracthunv,tractsnap,locationname,all teeth lost among adults aged >=65 years,arthritis among adults aged >=18 years,binge drinking among adults aged >=18 years,cancer (excluding skin cancer) among adults aged >=18 years,cervical cancer screening among adult women aged 21-65 years,cholesterol screening among adults aged >=18 years,chronic kidney disease among adults aged >=18 years,chronic obstructive pulmonary disease among adults aged >=18 years,coronary heart disease among adults aged >=18 years,current asthma among adults aged >=18 years,current lack of health insurance among adults aged 18-64 years,current smoking among adults aged >=18 years,diagnosed diabetes among adults aged >=18 years,"fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",high blood pressure among adults aged >=18 years,high cholesterol among adults aged >=18 years who have been screened in the past 5 years,mammography use among women aged 50-74 years,mental health not good for >=14 days among adults aged >=18 years,no leisure-time physical activity among adults aged >=18 years,obesity among adults aged >=18 years,"older adult men aged >=65 years who are up to date on a core set of clinical preventive services: flu shot past year, ppv shot ever, colorectal cancer screening","older adult women aged >=65 years who are up to date on a core set of clinical preventive services: flu shot past year, ppv shot ever, colorectal cancer screening, and mammogram past 2 years",physical health not good for >=14 days among adults aged >=18 years,sleeping less than 7 hours among adults aged >=18 years,stroke among adults aged >=18 years,taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,visits to dentist or dental clinic among adults aged >=18 years,visits to doctor for routine checkup within the past year among adults aged >=18 years,state_y,fips,mrfei,str_fips,geoid,coords
17031220602,Illinois,Cook County,1,5064,2438,0,14.0,0.28,0,0,0,0,0,1,17.1,44269.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.0,862.0,366.0,3283.0,402.0,153.0,7.0,38.0,1181.0,2363.0,863.0,385.0,17031220602,7.3,13.9,25.9,4.0,82.2,79.2,2.1,3.7,3.4,8.5,18.7,14.4,6.9,60.7,21.3,24.1,80.5,12.1,20.3,27.9,29.3,27.6,8.7,34.1,1.8,62.2,67.1,70.2,,,,,17031220602,"[(-87.71719499999999, 41.931911), (-87.715971, 41.931923999999995), (-87.71231, 41.931984), (-87.711069, 41.931985), (-87.70986599999999, 41.932002999999995), (-87.707427, 41.932029), (-87.70745, 41.929224999999995), (-87.707646, 41.928729), (-87.707895, 41.928365), (-87.70758599999999, 41.927966999999995), (-87.707219, 41.924716), (-87.707568, 41.924714), (-87.707618, 41.926513), (-87.710813, 41.926503), (-87.71215699999999, 41.926480999999995), (-87.714596, 41.926444), (-87.714632, 41.927834), (-87.717074, 41.927803999999995), (-87.71708799999999, 41.928255), (-87.717145, 41.930091), (-87.71719499999999, 41.931911)]"
17031220701,Illinois,Cook County,1,3437,1068,0,8.0,0.23,0,0,0,0,0,1,13.5,65625.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170.0,976.0,202.0,1751.0,134.0,30.0,4.0,22.0,1496.0,2701.0,124.0,146.0,17031220701,7.8,13.2,25.4,3.8,83.8,81.0,2.0,3.4,3.2,7.7,25.3,12.9,7.3,59.0,20.5,24.1,79.8,10.7,22.4,28.7,28.1,27.3,8.5,33.7,1.7,61.2,66.8,70.0,,,,,17031220701,"[(-87.726236, 41.927672), (-87.72442099999999, 41.92769), (-87.721974, 41.927727999999995), (-87.721918, 41.927738), (-87.71951899999999, 41.927769), (-87.717074, 41.927803999999995), (-87.717041, 41.926415), (-87.716994, 41.924603), (-87.719438, 41.924572999999995), (-87.721882, 41.924541999999995), (-87.72310399999999, 41.924529), (-87.725551, 41.924499), (-87.726236, 41.927672)]"
17031220702,Illinois,Cook County,1,4060,1358,0,30.0,0.74,0,0,0,0,0,1,13.8,65250.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424.0,1111.0,205.0,2077.0,309.0,56.0,10.0,20.0,1588.0,2942.0,159.0,161.0,17031220702,10.2,14.6,24.2,3.8,82.4,79.0,2.3,4.3,3.8,8.7,27.0,16.1,8.2,55.8,22.6,25.3,79.7,12.6,25.0,31.1,27.1,24.9,10.2,35.6,2.1,61.2,61.5,69.9,,,,,17031220702,"[(-87.731461, 41.931734), (-87.726979, 41.93179), (-87.724538, 41.931821), (-87.72330000000001, 41.931838), (-87.722088, 41.931850999999995), (-87.719636, 41.93188), (-87.71719499999999, 41.931911), (-87.717145, 41.930091), (-87.71708799999999, 41.928255), (-87.717074, 41.927803999999995), (-87.71951899999999, 41.927769), (-87.721918, 41.927738), (-87.721974, 41.927727999999995), (-87.72442099999999, 41.92769), (-87.726236, 41.927672), (-87.725551, 41.924499), (-87.72676899999999, 41.924484), (-87.727702, 41.924473), (-87.729569, 41.928081), (-87.731461, 41.931734)]"
17031220901,Illinois,Cook County,1,3498,1037,0,0.0,0.0,0,0,0,0,0,1,27.2,45724.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636.0,1149.0,234.0,1525.0,385.0,39.0,7.0,32.0,1510.0,2813.0,270.0,260.0,17031220901,14.8,18.6,19.9,4.2,79.0,77.9,3.3,6.0,5.6,9.5,33.5,18.7,12.5,48.0,29.6,30.2,78.7,14.5,33.1,36.3,21.7,21.6,14.2,37.6,3.1,67.6,51.7,71.7,,,,,17031220901,"[(-87.72666699999999, 41.920825), (-87.72299799999999, 41.92087), (-87.721777, 41.920884), (-87.71933, 41.920913), (-87.71688499999999, 41.920943), (-87.716799, 41.918199), (-87.71677199999999, 41.917283), (-87.719219, 41.917252999999995), (-87.721666, 41.917223), (-87.723906, 41.917198), (-87.724876, 41.919016), (-87.726615, 41.918994), (-87.72666699999999, 41.920825)]"
17031220902,Illinois,Cook County,1,3371,994,0,0.0,0.0,0,0,0,0,0,1,13.7,53542.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1408.0,1020.0,177.0,1598.0,151.0,20.0,0.0,37.0,1565.0,2833.0,176.0,163.0,17031220902,11.1,15.7,23.0,3.8,80.7,79.1,2.6,4.7,4.3,8.6,32.3,16.9,9.8,51.5,24.9,27.3,78.4,13.2,29.4,33.5,23.7,23.9,11.8,36.5,2.3,63.5,57.3,69.9,,,,,17031220902,"[(-87.727075, 41.922644999999996), (-87.726441, 41.922654), (-87.72676899999999, 41.924484), (-87.725551, 41.924499), (-87.72310399999999, 41.924529), (-87.721882, 41.924541999999995), (-87.719438, 41.924572999999995), (-87.716994, 41.924603), (-87.716939, 41.922774), (-87.71688499999999, 41.920943), (-87.71933, 41.920913), (-87.721777, 41.920884), (-87.72299799999999, 41.92087), (-87.72666699999999, 41.920825), (-87.727075, 41.922644999999996)]"
17031221000,Illinois,Cook County,1,2923,960,0,0.0,0.0,0,0,0,0,0,1,25.6,34847.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.0,838.0,119.0,1349.0,281.0,45.0,0.0,26.0,1222.0,2072.0,240.0,153.0,17031221000,10.5,14.1,23.8,3.3,80.6,77.4,2.3,4.3,3.7,8.9,27.1,17.0,8.5,53.9,22.7,24.6,80.6,13.6,26.1,32.8,24.4,24.4,10.8,36.5,2.0,60.3,58.4,69.6,IL,17031221000.0,12.5,17031221000,17031221000,"[(-87.716994, 41.924603), (-87.71373799999999, 41.924644), (-87.713622, 41.920984), (-87.713521, 41.917322999999996), (-87.71677199999999, 41.917283), (-87.716799, 41.918199), (-87.71688499999999, 41.920943), (-87.716939, 41.922774), (-87.716994, 41.924603)]"
17031221100,Illinois,Cook County,1,4870,1926,0,196.0,4.02,0,0,0,0,0,1,20.4,54079.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2289.0,995.0,416.0,2875.0,547.0,74.0,4.0,24.0,1346.0,2703.0,553.0,205.0,17031221100,10.1,16.4,23.4,4.3,80.9,79.2,2.7,4.8,4.6,8.9,22.8,16.7,9.3,55.9,25.0,26.8,80.3,13.1,25.0,31.4,25.9,24.2,10.9,35.6,2.5,65.8,60.8,71.2,IL,17031221100.0,9.75609756097561,17031221100,17031221100,"[(-87.71373799999999, 41.924644), (-87.712105, 41.924661), (-87.707568, 41.924714), (-87.707219, 41.924716), (-87.70711299999999, 41.921451999999995), (-87.707081, 41.920663), (-87.706976, 41.917401999999996), (-87.708671, 41.91738), (-87.710298, 41.917361), (-87.711905, 41.917342), (-87.713521, 41.917322999999996), (-87.713622, 41.920984), (-87.71373799999999, 41.924644)]"
17031221200,Illinois,Cook County,1,2860,1194,0,7.0,0.24,0,0,0,0,0,0,9.9,100577.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754.0,518.0,140.0,1848.0,214.0,86.0,2.0,17.0,693.0,1248.0,249.0,130.0,17031221200,5.5,11.5,27.7,3.5,84.6,78.8,1.6,2.8,2.5,8.0,16.0,12.7,5.2,63.0,19.0,22.0,82.0,10.7,16.7,25.8,30.8,29.1,6.9,32.8,1.3,58.2,71.3,69.3,IL,17031221200.0,4.651162790697675,17031221200,17031221200,"[(-87.707219, 41.924716), (-87.70231799999999, 41.924763), (-87.702212, 41.921503), (-87.702089, 41.917445), (-87.706976, 41.917401999999996), (-87.707081, 41.920663), (-87.70711299999999, 41.921451999999995), (-87.707219, 41.924716)]"
17031221300,Illinois,Cook County,1,3222,1286,0,122.0,3.79,0,0,0,0,0,1,22.0,55625.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1220.0,626.0,137.0,2010.0,192.0,96.0,4.0,19.0,901.0,1657.0,468.0,135.0,17031221300,8.9,12.6,26.2,3.4,81.4,78.6,2.0,3.7,3.2,8.5,20.5,15.5,6.7,56.4,19.2,22.4,80.7,12.4,21.0,28.9,28.5,26.5,8.8,34.5,1.7,57.8,64.2,68.8,IL,17031221300.0,2.5,17031221300,17031221300,"[(-87.70231799999999, 41.924763), (-87.698636, 41.924796), (-87.697413, 41.924807), (-87.697362, 41.922906999999995), (-87.69731999999999, 41.921689), (-87.69721899999999, 41.918141999999996), (-87.69720099999999, 41.917488999999996), (-87.69999399999999, 41.917460999999996), (-87.702089, 41.917445), (-87.702212, 41.921503), (-87.70231799999999, 41.924763)]"
17031221400,Illinois,Cook County,1,3020,1175,0,0.0,0.0,0,0,0,0,0,0,7.0,87031.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,576.0,169.0,1855.0,77.0,83.0,1.0,25.0,979.0,1779.0,363.0,76.0,17031221400,6.1,12.1,27.0,3.6,83.6,79.9,1.9,3.0,3.0,7.7,18.7,12.5,6.3,60.0,19.6,23.2,81.6,10.6,18.6,26.8,28.9,28.5,7.6,32.8,1.5,59.7,69.6,69.4,IL,17031221400.0,4.25531914893617,17031221400,17031221400,"[(-87.697413, 41.924807), (-87.692843, 41.924852), (-87.692712, 41.920065), (-87.691332, 41.919228), (-87.68859599999999, 41.917563), (-87.692306, 41.917531), (-87.69720099999999, 41.917488999999996), (-87.69721899999999, 41.918141999999996), (-87.69731999999999, 41.921689), (-87.697362, 41.922906999999995), (-87.697413, 41.924807)]"
