locationname,All teeth lost among adults aged >=65 years,Arthritis among adults aged >=18 years,Binge drinking among adults aged >=18 years,Cancer (excluding skin cancer) among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Cholesterol screening among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Coronary heart disease among adults aged >=18 years,Current asthma among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Current smoking among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",High blood pressure among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Mammography use among women aged 50-74 years,Mental health not good for >=14 days among adults aged >=18 years,No leisure-time physical activity among adults aged >=18 years,Obesity among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening","Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Physical health not good for >=14 days among adults aged >=18 years,Sleeping less than 7 hours among adults aged >=18 years,Stroke among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years
17031010100,12.5,20.2,20.4,4.7,82.9,82.2,2.8,6.0,4.8,10.8,16.6,18.6,10.3,59.0,31.9,28.2,82.0,13.7,24.4,34.9,26.8,25.4,11.9,39.8,3.2,70.3,60.4,76.0
17031010201,16.6,19.7,20.6,4.2,79.9,79.6,3.0,6.9,5.2,11.0,24.4,22.7,11.1,53.3,30.2,27.8,80.2,15.7,29.6,36.4,24.2,22.9,14.0,41.2,3.3,67.5,52.7,73.4
17031010202,15.6,22.6,20.4,5.6,81.5,82.5,3.3,7.4,6.2,10.4,22.2,20.1,11.9,58.7,32.9,30.4,79.6,13.9,27.9,34.3,27.3,24.1,13.6,39.1,3.8,72.4,57.3,75.0
17031010300,13.1,22.6,20.8,6.3,82.4,83.0,3.1,6.7,6.1,9.7,17.9,17.4,10.4,62.1,32.5,31.0,78.9,12.4,24.8,31.1,29.9,24.8,12.0,36.6,3.5,73.3,62.8,75.4
17031010400,9.1,13.0,25.2,3.4,76.9,74.7,1.7,4.0,3.0,9.9,13.5,14.0,5.5,61.6,19.5,21.5,80.0,14.0,17.8,24.4,30.7,27.4,8.2,34.7,1.7,62.2,68.7,71.8
17031010501,9.5,17.4,22.5,4.8,81.4,80.9,2.4,4.7,4.4,9.4,15.0,15.4,8.0,62.6,27.0,26.2,80.7,12.1,20.5,29.7,30.9,26.9,9.6,36.8,2.5,68.3,65.2,74.0
17031010502,10.5,15.0,24.8,3.5,78.2,77.6,2.1,4.7,3.6,10.0,15.4,17.5,7.0,58.8,22.6,23.1,81.2,14.1,20.5,29.9,28.1,27.3,9.8,37.4,2.1,62.2,62.7,71.5
17031010503,18.3,24.5,18.7,6.2,66.0,75.5,4.0,9.1,8.9,10.9,19.8,19.6,13.7,56.8,32.5,32.8,76.7,16.5,30.1,29.4,24.8,21.3,15.0,36.4,4.6,76.5,53.3,75.3
17031010600,10.3,17.2,23.7,4.4,81.9,80.8,2.3,5.0,4.3,9.6,16.0,16.9,8.1,60.8,25.7,26.0,81.1,12.9,21.1,30.4,28.9,26.4,10.1,36.9,2.5,66.6,64.2,72.8
17031010701,11.8,18.9,21.8,4.7,82.7,81.8,2.6,5.7,4.8,9.5,20.6,18.0,9.5,57.9,27.5,28.2,79.1,12.9,24.8,32.5,27.9,26.4,11.7,37.3,2.8,67.6,60.9,72.9
17031010702,15.3,16.2,22.6,3.5,79.9,77.6,2.5,5.5,4.3,9.9,25.1,20.1,9.3,52.4,26.4,25.8,80.0,14.8,27.2,33.8,24.7,24.6,12.4,39.1,2.6,63.8,55.1,70.7
17031020100,11.0,19.6,20.1,5.3,82.4,82.3,2.6,5.6,4.8,9.4,18.8,16.4,9.8,60.6,31.7,30.5,78.8,11.9,24.3,29.4,30.3,27.1,10.9,37.5,2.9,72.0,63.7,75.3
17031020200,10.6,22.6,18.7,6.4,79.0,85.3,2.9,6.5,6.2,8.9,15.9,15.6,10.8,60.4,29.8,32.3,77.9,11.3,24.0,26.5,31.0,27.5,11.5,34.8,3.2,74.8,65.5,75.9
17031020301,9.8,28.5,17.4,10.0,81.2,87.3,3.6,7.3,8.4,8.5,12.8,12.3,10.3,65.9,33.8,35.0,77.2,9.8,22.7,24.0,34.1,26.5,11.2,30.2,4.0,80.0,70.4,78.8
17031020302,10.5,23.7,19.4,7.0,81.7,86.0,3.1,6.6,6.5,9.0,15.4,15.0,10.3,62.4,29.5,31.6,79.1,11.3,23.4,28.5,31.5,26.5,11.6,34.0,3.3,74.8,66.5,76.0
17031020400,10.6,20.8,20.4,5.7,81.7,84.3,2.7,6.0,5.4,9.1,17.5,16.3,9.8,60.2,29.4,30.6,78.8,11.6,23.7,29.5,30.4,26.9,11.2,35.8,2.9,71.8,64.7,74.8
17031020500,18.1,21.5,17.5,5.1,74.0,78.7,3.3,7.6,6.7,9.9,24.9,21.2,12.7,52.8,32.1,31.8,77.4,14.2,31.5,30.4,25.3,22.4,14.3,39.4,3.8,72.3,52.0,73.9
17031020601,14.7,21.6,19.8,5.4,75.3,80.2,2.9,7.4,6.3,9.6,20.0,19.9,10.6,55.8,28.7,31.0,76.9,13.9,27.4,28.3,28.1,24.4,13.3,36.9,3.3,71.6,57.9,72.9
17031020602,13.1,21.2,18.2,5.3,75.7,82.0,3.0,6.7,6.3,8.9,20.0,17.7,11.5,55.5,29.2,31.4,77.6,12.5,27.5,28.2,27.9,25.2,12.6,37.1,3.2,72.8,58.6,74.0
17031020701,7.9,22.9,18.9,7.0,80.6,86.7,2.8,5.8,6.0,8.2,13.3,13.5,10.2,64.1,29.5,33.1,77.6,9.8,21.7,25.2,33.6,29.3,10.2,33.3,2.9,75.5,69.9,76.5
17031020702,16.0,22.8,18.0,5.8,73.8,80.9,3.2,7.8,7.1,9.3,21.5,20.4,12.2,54.7,30.3,32.2,76.5,13.6,29.9,28.0,26.9,23.5,13.8,37.9,3.7,73.2,55.5,74.0
17031020801,12.9,20.6,20.3,5.5,77.6,82.1,2.7,6.6,5.7,9.2,21.6,18.5,10.2,57.0,27.6,30.4,76.3,12.8,26.8,27.5,29.1,25.8,12.1,36.5,3.0,70.7,60.3,73.1
17031020802,14.0,18.7,18.4,4.3,73.3,79.2,2.8,6.1,5.6,8.8,22.8,19.7,11.5,52.3,27.9,29.8,77.9,13.2,29.4,28.0,26.5,23.9,12.6,39.5,3.0,69.9,54.5,72.7
17031020901,15.1,18.7,19.4,4.0,75.8,79.2,2.9,6.3,5.4,9.7,23.7,20.8,11.4,51.5,28.5,28.6,78.4,14.5,29.4,31.7,25.2,23.8,13.3,40.1,3.1,68.5,53.1,72.7
17031020902,15.2,22.8,18.5,5.5,75.6,81.4,3.2,7.8,6.7,9.7,21.8,21.6,12.6,54.8,31.6,32.5,76.8,14.1,30.5,30.1,26.6,23.7,14.3,38.9,3.6,73.4,54.9,74.1
17031030101,9.7,21.2,20.5,6.1,81.1,84.6,2.8,5.7,5.6,9.1,15.6,15.3,9.9,63.6,29.9,30.0,80.0,11.2,22.5,29.1,31.1,27.7,10.5,35.8,3.0,73.4,65.4,75.8
17031030102,7.0,18.7,22.9,5.5,83.1,84.4,2.4,4.6,4.5,8.7,12.2,13.3,8.1,65.5,26.9,28.1,81.4,10.5,18.4,27.7,33.6,29.5,9.0,34.9,2.4,70.4,70.6,74.8
17031030103,8.1,12.7,26.1,3.4,79.1,76.9,1.7,3.6,3.0,9.1,13.4,13.7,5.9,62.5,19.7,21.4,81.1,12.8,17.5,24.5,32.3,28.2,7.7,35.4,1.7,62.1,68.7,71.4
17031030104,10.7,12.3,24.8,3.2,70.4,71.5,1.8,4.1,3.2,10.0,14.7,14.0,5.8,59.9,18.3,20.5,79.1,15.0,19.3,21.9,28.8,25.2,8.2,34.5,1.8,62.6,66.4,71.6
17031030200,7.0,17.1,24.9,5.1,84.3,84.0,2.1,4.5,4.0,8.6,12.4,14.0,6.7,64.8,23.1,26.7,79.6,10.6,17.3,26.5,34.4,30.9,8.4,33.4,2.1,66.4,71.9,72.5
17031030300,12.9,20.7,20.3,5.3,78.8,81.0,3.0,6.5,6.2,9.2,22.4,18.2,11.3,56.5,30.3,31.0,78.2,12.7,27.5,30.5,26.9,24.4,12.3,36.5,3.3,71.9,58.6,73.7
17031030400,9.0,19.1,22.0,5.4,82.5,82.9,2.7,5.2,5.1,8.7,16.4,15.0,9.0,61.0,26.8,29.2,78.6,11.4,21.6,28.6,31.0,28.1,10.3,34.3,2.6,69.8,66.1,73.2
17031030500,6.6,13.9,27.1,4.4,84.8,83.0,1.8,3.6,3.1,8.1,14.7,13.3,5.8,64.7,20.6,24.3,79.7,10.4,16.9,24.9,34.3,30.8,7.5,33.2,1.7,62.9,72.8,70.7
17031030601,13.7,23.4,19.7,6.3,79.7,83.0,3.3,7.3,6.9,9.7,18.1,18.3,11.5,60.3,33.4,32.1,78.9,12.7,25.8,30.9,28.5,24.8,12.8,36.9,3.8,74.6,60.3,75.6
17031030603,9.2,14.3,24.9,3.5,81.5,79.9,2.0,4.1,3.4,8.9,16.8,17.0,7.1,59.1,24.5,23.9,81.7,12.2,20.6,30.4,29.0,27.3,9.1,38.0,2.0,63.0,63.4,71.5
17031030604,9.0,20.8,20.4,5.9,79.8,83.8,2.8,5.5,5.5,8.8,13.7,14.6,9.8,62.9,29.9,30.3,80.5,10.9,21.3,28.1,30.6,27.5,10.4,35.9,3.0,73.5,66.0,75.2
17031030701,11.2,16.9,23.9,4.3,80.9,80.1,2.4,5.1,4.5,9.4,17.3,18.1,8.4,58.5,26.6,26.4,81.3,13.1,22.2,30.6,30.6,25.2,10.4,37.7,2.5,66.1,62.2,72.2
17031030702,5.2,19.6,20.9,6.5,83.1,87.8,2.4,4.2,4.8,7.7,10.0,10.4,8.4,68.0,26.7,30.2,80.3,8.4,16.7,23.8,36.2,32.0,8.0,32.3,2.4,74.0,75.1,76.1
17031030703,12.0,24.5,19.8,7.2,81.0,84.2,3.5,7.1,7.2,9.5,16.1,16.5,11.2,63.4,32.6,32.0,77.2,11.9,24.0,30.2,31.9,26.9,12.2,35.3,3.8,75.4,63.1,75.8
17031030706,9.1,25.2,18.5,8.8,81.3,86.7,3.3,6.2,7.1,8.3,14.0,12.2,9.9,66.9,33.6,33.7,77.7,9.3,21.6,24.9,34.6,27.3,10.1,31.4,3.5,78.4,70.7,78.1
17031030800,5.2,15.6,25.8,5.1,85.4,84.5,1.9,3.6,3.6,7.9,10.8,11.7,6.0,67.0,21.9,26.2,80.4,9.3,15.5,23.6,35.7,31.6,7.2,31.6,1.8,66.6,75.6,72.2
17031030900,6.2,16.1,25.2,5.2,85.6,84.1,2.0,3.9,3.6,8.1,13.0,13.0,6.4,65.3,21.8,25.9,79.7,10.1,17.2,25.1,34.8,30.3,8.0,32.7,1.9,65.7,73.0,72.0
17031031000,6.2,14.3,26.6,4.6,85.3,82.7,1.8,3.4,3.2,8.2,12.9,12.7,5.5,64.3,20.0,23.7,80.6,10.4,16.2,24.7,35.0,28.5,7.3,32.5,1.7,63.0,73.5,71.0
17031031100,7.1,14.3,25.5,4.4,82.7,81.1,1.9,3.7,3.4,8.2,13.5,14.0,6.1,62.5,20.9,24.4,79.3,11.1,17.8,24.1,33.2,28.1,8.0,33.8,1.8,63.8,70.3,70.7
17031031200,16.6,23.0,18.4,5.5,76.6,82.0,3.5,7.7,7.3,9.9,20.5,20.8,13.5,54.3,35.3,32.8,79.0,13.6,29.4,32.8,26.6,23.1,14.4,39.3,4.2,74.8,54.7,75.2
17031031300,10.5,22.5,19.3,6.2,80.4,84.0,3.2,6.3,6.5,8.9,15.9,16.2,11.3,60.9,32.2,31.9,79.2,11.3,24.4,28.5,29.7,25.4,11.4,36.0,3.5,75.0,62.8,75.9
17031031400,5.2,18.8,23.6,6.8,85.2,86.2,2.3,4.0,4.4,8.1,9.4,10.0,6.8,70.1,24.8,28.1,80.5,8.9,15.0,23.4,37.3,31.5,7.4,30.4,2.2,72.7,77.1,74.8
17031031501,17.6,24.0,17.6,5.5,74.1,80.5,3.8,8.3,7.9,10.1,22.2,22.2,14.7,53.4,34.7,32.6,76.5,14.8,32.1,33.2,24.8,22.3,15.6,40.1,4.5,74.6,50.5,75.3
17031031502,15.5,20.3,20.8,4.6,79.2,80.4,3.1,6.6,5.6,10.7,20.1,21.2,11.5,57.1,30.6,27.6,80.0,15.0,27.5,35.1,25.6,24.1,13.3,40.7,3.6,70.0,54.4,74.4
17031031700,9.3,15.3,25.4,3.8,83.1,80.1,2.1,4.5,3.6,9.2,16.2,17.4,7.2,59.0,24.3,24.8,82.0,12.6,20.3,30.7,28.6,26.5,9.5,37.0,2.1,63.4,64.0,71.0
17031031800,4.2,12.3,28.2,4.1,86.7,82.1,1.5,2.8,2.5,7.8,11.5,11.2,4.7,66.8,18.6,22.7,80.9,9.5,13.9,23.5,35.1,32.7,6.2,31.6,1.3,60.2,76.3,70.2
17031031900,5.9,14.1,26.8,4.2,85.6,81.3,1.7,3.7,2.9,8.7,12.1,14.2,5.3,64.1,19.9,23.7,80.3,11.0,16.2,25.8,32.7,31.3,7.6,33.0,1.6,61.0,71.9,70.3
17031032100,8.2,15.1,26.2,4.4,81.8,80.3,2.0,4.1,3.7,8.9,13.5,14.6,6.3,64.3,21.6,23.5,80.0,11.8,17.9,27.0,32.5,29.0,8.4,34.3,2.0,64.7,68.4,71.2
17031040100,7.1,17.0,24.3,5.2,85.0,83.9,2.1,4.3,4.0,8.3,14.2,13.5,7.1,64.0,23.8,27.5,80.1,10.5,18.2,26.3,33.9,29.7,8.7,33.1,2.1,67.4,71.6,72.5
17031040201,6.5,15.4,25.7,5.0,84.5,82.6,1.9,3.8,3.5,8.2,13.4,12.9,6.1,65.1,21.4,25.5,78.9,10.4,17.0,24.2,35.4,31.1,7.8,32.6,1.8,65.5,73.0,71.5
17031040202,12.8,20.8,19.9,5.3,76.7,81.4,2.9,6.5,6.0,9.1,18.8,18.7,10.6,56.7,28.4,30.5,78.5,13.0,26.4,28.8,28.6,24.7,12.4,37.1,3.1,71.5,59.4,73.4
17031040300,6.5,19.4,21.4,6.5,82.8,85.9,2.3,4.6,4.7,7.9,12.7,11.9,8.0,66.4,26.0,30.2,78.1,9.2,18.9,22.6,35.5,30.9,8.4,32.2,2.3,73.1,73.9,75.2
17031040401,5.0,14.6,26.4,5.0,86.5,84.8,1.8,3.3,3.1,7.8,11.5,11.4,5.5,68.0,19.8,24.6,79.5,9.3,15.0,23.5,36.8,32.8,6.8,31.4,1.6,64.7,76.3,71.6
17031040402,4.5,11.8,28.5,3.8,86.7,83.2,1.4,2.7,2.3,7.9,10.9,11.5,4.2,66.3,16.0,20.7,80.8,9.9,13.6,23.8,36.3,32.2,6.2,32.0,1.2,56.6,76.0,69.6
17031040600,4.0,12.8,28.7,4.5,87.0,83.2,1.5,2.8,2.6,7.8,9.6,10.3,4.3,69.9,18.1,22.8,80.1,9.4,12.6,22.5,38.4,34.3,6.0,30.8,1.3,61.1,78.8,70.6
17031040700,5.3,13.9,27.6,4.6,86.8,82.5,1.7,3.3,2.9,8.2,11.7,12.5,5.1,67.5,19.9,24.1,79.8,10.3,15.1,24.2,36.5,32.7,7.1,32.3,1.5,62.0,75.1,70.6
17031040800,6.1,16.1,26.2,5.3,86.5,84.2,1.9,3.9,3.6,8.3,11.8,12.9,5.9,67.5,21.8,25.7,79.7,10.2,16.3,24.5,36.4,31.2,7.5,32.2,1.8,66.4,74.4,71.9
17031040900,4.2,13.4,28.2,4.6,86.7,83.5,1.6,2.9,2.7,8.0,9.4,10.3,4.5,69.0,18.0,22.8,81.1,9.5,12.7,22.9,38.0,33.4,6.2,30.7,1.4,61.6,78.2,70.8
17031050100,4.5,12.2,29.6,4.3,86.9,82.7,1.4,2.8,2.5,8.0,10.1,11.1,4.1,69.0,16.7,21.5,80.4,9.8,12.8,22.2,37.4,33.0,6.0,30.8,1.3,59.2,78.0,69.7
17031050200,5.9,16.9,25.2,5.6,85.6,83.9,2.1,4.0,3.9,8.2,11.8,12.6,6.4,67.3,22.7,26.6,79.2,10.0,16.5,24.9,34.3,31.3,7.7,31.7,1.9,67.6,74.2,72.4
17031050300,6.2,16.3,25.8,5.3,85.9,84.0,1.9,4.0,3.7,8.3,11.9,12.9,6.0,66.5,21.9,26.3,79.4,10.2,16.2,24.8,36.1,31.2,7.8,32.0,1.8,66.0,74.5,72.0
17031050500,4.3,14.7,27.5,5.3,87.7,84.4,1.6,3.1,3.0,7.9,9.0,10.3,4.6,69.7,19.7,24.6,80.3,9.0,12.8,22.6,39.0,34.0,6.2,30.1,1.5,64.2,79.2,71.8
17031050600,3.5,11.4,30.3,4.0,86.9,82.9,1.3,2.4,2.2,7.8,8.7,10.1,3.7,69.9,15.6,20.4,80.5,9.3,11.6,22.1,37.3,34.2,5.4,30.5,1.1,57.4,79.2,69.5
17031050700,4.2,12.0,30.2,4.2,87.8,83.3,1.4,2.7,2.3,7.9,9.0,10.9,3.7,70.1,15.7,20.6,81.5,9.5,12.1,22.4,38.5,34.0,5.7,30.8,1.2,57.3,78.4,69.3
17031050800,3.7,12.3,29.6,4.3,87.6,83.8,1.4,2.6,2.4,7.7,8.9,10.6,4.1,69.3,16.7,21.8,80.4,9.1,12.2,22.6,38.5,34.2,5.6,30.7,1.2,58.8,79.1,70.1
17031050900,4.7,12.9,28.4,4.2,86.2,83.0,1.6,3.0,2.7,8.1,10.7,11.9,4.7,66.5,17.5,22.2,79.6,10.1,14.2,23.7,34.4,33.7,6.5,31.7,1.4,60.0,75.9,70.1
17031051000,4.5,11.3,30.1,3.7,87.0,82.0,1.4,2.7,2.2,8.0,11.4,12.1,3.9,67.4,15.6,20.2,80.5,9.9,13.4,23.2,34.5,32.8,5.9,31.4,1.2,55.0,76.0,68.7
17031051100,4.5,10.9,31.0,3.7,87.1,80.6,1.3,2.6,2.1,7.9,10.5,11.7,3.5,68.8,15.9,20.2,80.5,9.9,12.5,22.5,34.9,33.8,5.7,31.1,1.1,54.6,76.8,68.2
17031051200,3.6,10.6,31.4,3.7,88.0,80.7,1.2,2.3,2.0,7.8,8.9,10.3,3.3,68.5,15.6,20.0,81.3,9.4,11.3,22.2,38.9,33.9,5.3,30.6,1.0,54.1,78.7,68.5
17031051300,3.4,11.2,30.0,4.0,88.7,84.3,1.3,2.3,2.0,7.6,8.7,9.7,3.6,68.4,15.3,20.5,81.4,8.7,11.4,22.3,39.0,33.9,5.3,30.4,1.1,56.0,80.3,69.7
17031051400,4.9,12.8,27.8,4.2,87.3,82.1,1.6,2.9,2.6,8.0,11.4,11.8,5.0,66.7,19.4,22.9,81.1,9.8,14.4,24.7,33.5,32.0,6.5,32.3,1.4,60.8,75.5,70.5
17031060100,3.8,11.9,29.5,4.0,87.0,82.9,1.4,2.6,2.3,8.0,9.4,10.6,3.9,69.0,16.1,21.0,82.1,9.4,12.3,22.8,36.8,32.8,5.7,30.5,1.2,57.5,78.2,69.7
17031060200,5.9,13.4,27.4,4.1,84.2,81.3,1.7,3.4,2.9,8.5,12.1,12.7,5.0,65.8,18.5,22.7,80.9,10.8,15.2,24.9,34.4,30.8,7.2,32.0,1.5,60.6,73.1,70.0
17031060300,3.3,10.7,31.0,3.8,85.9,82.0,1.2,2.3,2.0,7.7,8.6,9.8,3.4,70.1,15.1,19.9,80.7,9.2,11.2,21.0,38.0,34.3,5.1,29.9,1.0,56.6,79.8,69.3
17031060400,3.8,9.6,31.7,3.2,86.0,80.1,1.2,2.2,1.8,7.8,9.0,10.4,3.0,68.8,13.8,18.2,81.3,9.5,11.0,21.7,36.6,34.3,5.1,30.2,0.9,50.9,78.1,67.9
17031060500,10.5,22.9,21.2,7.2,79.5,82.3,3.3,6.6,7.2,8.8,16.1,15.7,10.8,66.3,30.0,32.1,73.0,11.3,23.3,25.3,30.1,27.9,10.7,31.7,3.4,76.4,65.2,74.7
17031060800,3.6,13.0,27.9,4.7,85.2,83.5,1.6,2.6,2.7,7.6,8.5,9.1,4.5,71.4,18.5,22.6,80.8,8.6,11.9,21.2,38.7,35.0,5.5,30.2,1.4,64.5,79.4,71.5
17031060900,5.5,15.1,26.8,5.1,84.3,82.2,1.8,3.5,3.3,8.1,10.5,11.6,5.4,68.5,21.2,24.5,80.5,9.9,14.6,23.7,36.8,31.2,7.0,31.7,1.7,65.9,75.2,71.7
17031061000,4.2,7.5,33.9,2.5,82.4,77.0,1.0,2.0,1.5,8.0,9.1,10.4,2.3,66.3,11.2,14.9,82.2,10.5,10.6,20.6,37.6,30.6,4.7,30.4,0.8,43.0,77.0,66.4
17031061100,3.5,6.7,35.7,2.4,83.6,76.5,0.9,1.7,1.2,7.6,8.5,9.3,1.9,69.8,10.6,14.2,81.0,9.8,9.4,19.0,39.9,33.8,4.1,29.4,0.6,41.0,79.3,65.9
17031061200,3.1,8.0,33.5,2.8,84.6,78.8,1.0,1.8,1.5,7.7,8.2,9.0,2.4,69.5,11.7,15.9,80.5,9.6,9.8,19.5,37.0,35.8,4.4,29.4,0.8,47.9,79.8,67.2
17031061500,3.6,8.8,32.8,3.2,84.4,79.3,1.1,2.0,1.7,7.9,8.5,9.6,2.6,70.0,12.5,16.6,80.6,9.6,10.5,19.9,38.0,33.1,4.5,29.3,0.9,50.8,79.1,67.6
17031061800,5.3,11.7,29.0,3.7,82.6,79.8,1.4,2.9,2.4,8.4,10.4,11.7,4.1,66.6,16.8,20.4,81.4,10.8,13.5,22.9,36.6,30.8,6.2,32.2,1.3,58.6,75.1,69.8
17031061901,4.4,13.2,27.6,4.4,83.7,82.0,1.6,3.0,2.9,8.1,9.6,10.5,4.6,69.3,18.1,22.4,81.2,9.9,13.2,22.7,36.8,32.9,6.3,31.1,1.4,62.4,76.2,70.7
17031061902,5.0,17.4,25.1,6.1,83.8,84.5,2.1,3.8,4.1,8.0,9.5,10.4,5.9,70.8,22.8,26.8,80.1,9.4,14.3,23.1,37.5,32.3,7.1,30.3,1.9,70.2,76.9,73.3
17031062000,3.3,8.5,32.3,3.0,84.4,79.7,1.0,1.9,1.6,7.6,8.4,9.5,2.7,69.9,13.3,17.4,81.8,9.3,10.2,20.7,39.0,36.3,4.6,30.2,0.8,49.3,79.3,67.8
17031062100,4.6,9.1,31.4,3.0,81.2,77.4,1.2,2.3,2.0,8.0,10.0,10.9,3.2,68.9,14.0,17.5,79.1,10.5,11.9,20.8,36.6,32.4,5.2,30.7,1.0,52.1,75.8,67.6
17031062200,3.2,7.2,34.0,2.5,84.9,78.5,0.9,1.7,1.3,7.6,8.3,9.4,2.1,69.2,11.3,15.3,82.3,9.4,9.6,19.7,37.2,33.4,4.1,29.7,0.7,43.1,79.7,66.6
17031062300,2.7,8.2,33.8,3.0,87.1,81.0,1.0,1.8,1.4,7.5,7.6,9.1,2.3,70.1,11.9,16.4,82.0,9.0,9.4,20.3,37.9,33.6,4.3,29.8,0.7,46.4,80.5,67.0
17031062400,3.9,9.9,32.2,3.7,86.5,81.5,1.2,2.1,2.0,7.6,8.5,9.6,3.0,70.0,13.9,18.3,79.8,9.0,10.5,20.3,40.0,32.4,4.7,29.4,1.0,54.3,79.8,68.1
17031062500,3.7,10.7,30.7,3.6,86.5,82.7,1.3,2.4,2.2,7.8,8.8,10.4,3.7,67.9,15.1,19.6,81.4,9.6,11.6,23.0,36.7,35.0,5.5,31.2,1.1,55.2,77.9,68.9
17031062600,2.6,9.9,31.0,3.6,88.5,84.0,1.1,2.0,1.8,7.4,7.8,8.8,3.1,70.1,14.2,19.5,82.1,8.3,10.1,21.0,39.0,35.3,4.6,29.9,0.9,53.4,81.8,69.2
17031062700,3.6,10.4,31.8,3.8,86.2,80.1,1.3,2.3,2.1,7.7,8.5,9.6,3.3,70.5,15.4,19.6,81.2,9.5,10.9,20.6,38.8,33.7,5.1,29.6,1.0,56.4,79.6,68.7
17031062800,3.4,9.1,33.0,3.2,85.2,80.5,1.1,2.0,1.7,7.7,8.3,9.7,2.8,69.3,12.8,17.3,82.0,9.5,10.5,20.7,38.8,33.0,4.8,30.0,0.9,50.6,79.1,67.6
17031062900,3.2,8.3,33.0,2.9,85.1,78.8,1.0,1.9,1.5,7.8,8.2,9.3,2.5,70.5,12.3,16.3,81.2,9.5,9.8,19.9,38.5,34.4,4.4,29.6,0.8,48.5,79.6,67.4
17031063000,3.4,7.9,32.7,2.8,84.3,79.3,1.0,1.8,1.5,7.6,8.6,9.2,2.5,70.0,11.9,15.9,82.1,9.4,10.2,19.5,37.8,33.0,4.3,29.9,0.8,48.2,79.2,67.4
17031063100,3.6,8.9,32.3,3.1,85.1,80.3,1.1,2.0,1.7,7.7,8.7,9.9,2.7,70.0,13.0,17.2,81.5,9.8,10.6,20.6,38.3,37.3,4.8,30.6,0.9,50.1,78.9,67.7
17031063200,4.7,16.0,25.8,6.0,83.8,83.1,1.9,3.4,3.7,7.9,9.1,9.4,5.1,71.9,21.2,24.8,80.1,9.2,13.4,21.3,38.9,31.9,6.4,29.5,1.8,69.4,78.1,72.9
17031063301,5.2,13.8,26.3,4.7,81.5,79.5,1.8,3.2,3.1,8.4,9.8,10.5,5.0,72.1,19.6,22.7,80.7,10.3,13.8,22.0,35.7,31.7,6.3,30.7,1.6,65.9,75.2,71.4
17031063302,3.2,11.7,29.0,4.4,84.1,81.5,1.4,2.4,2.4,7.8,7.9,8.3,3.7,72.4,16.6,20.9,81.3,8.9,10.8,19.8,39.7,35.0,5.0,29.1,1.2,62.5,80.5,70.7
17031063303,5.4,28.1,17.5,11.4,85.5,89.9,3.3,5.5,7.1,7.6,8.3,8.3,8.4,72.8,33.1,34.8,79.1,7.5,17.4,21.1,38.4,29.0,8.8,27.0,3.4,80.9,79.0,80.4
17031063400,3.3,8.0,32.8,2.8,84.4,79.3,1.0,1.8,1.5,7.8,8.2,8.9,2.5,70.2,12.4,16.3,82.6,9.3,9.7,19.6,39.5,36.7,4.3,29.7,0.8,49.3,80.1,67.8
17031070101,4.5,17.8,24.2,6.4,83.7,84.3,2.1,3.7,4.2,8.2,8.4,9.5,5.9,71.2,22.4,26.7,80.4,9.4,14.0,22.2,37.9,32.6,7.0,29.4,2.0,71.7,77.6,73.9
17031070102,3.9,10.4,30.4,3.8,84.2,80.3,1.3,2.2,2.2,7.7,8.5,9.3,3.3,70.0,15.0,19.0,81.1,9.1,11.1,20.1,38.7,30.3,4.9,29.6,1.1,57.2,79.0,69.1
17031070103,4.1,8.9,30.5,3.1,82.0,78.4,1.1,2.1,1.8,8.1,8.9,9.6,2.8,69.4,13.1,16.9,81.1,10.1,10.8,19.5,38.7,34.2,4.8,30.3,0.9,52.7,78.0,68.6
17031070200,4.7,10.8,30.1,3.9,83.1,79.7,1.3,2.4,2.3,7.9,9.0,9.6,3.5,69.8,15.6,19.4,81.4,9.9,11.6,20.0,37.8,30.5,5.3,29.9,1.2,59.5,78.3,69.4
17031070300,3.2,7.7,33.5,2.8,83.8,77.6,1.0,1.8,1.5,7.6,7.9,8.4,2.3,70.4,12.1,16.1,81.7,9.2,9.2,18.7,38.4,34.6,4.1,28.7,0.8,48.2,80.7,67.5
17031070400,6.2,14.3,27.9,4.8,82.1,79.1,1.8,3.6,3.6,8.4,11.0,11.9,5.4,69.5,20.6,24.1,80.1,10.8,14.8,22.5,34.4,30.3,7.0,30.6,1.7,66.3,74.5,70.6
