locationname,All teeth lost among adults aged >=65 years,Arthritis among adults aged >=18 years,Binge drinking among adults aged >=18 years,Cancer (excluding skin cancer) among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Cholesterol screening among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Coronary heart disease among adults aged >=18 years,Current asthma among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Current smoking among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",High blood pressure among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Mammography use among women aged 50-74 years,Mental health not good for >=14 days among adults aged >=18 years,No leisure-time physical activity among adults aged >=18 years,Obesity among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening","Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Physical health not good for >=14 days among adults aged >=18 years,Sleeping less than 7 hours among adults aged >=18 years,Stroke among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years
17031803702,6.0,20.1,23.6,7.0,85.9,86.3,2.2,4.6,4.6,8.0,9.8,11.4,6.7,67.8,25.8,30.1,79.1,9.2,16.2,23.5,37.8,30.9,8.1,30.6,2.2,72.0,77.0,74.9
17031803800,6.8,21.2,23.9,6.9,85.7,86.3,2.3,5.3,4.9,8.5,11.2,13.6,7.3,66.5,26.6,30.7,78.3,10.2,17.9,25.5,36.8,30.9,9.1,31.9,2.4,71.5,74.9,74.6
17031803901,8.1,25.4,20.6,8.7,84.3,86.8,2.9,6.5,6.4,8.6,12.3,13.4,8.7,67.8,31.3,33.9,77.2,10.1,20.5,25.2,36.0,30.2,10.3,31.2,3.1,76.7,72.8,76.7
17031803902,7.5,21.8,24.3,7.1,85.0,85.2,2.4,5.7,5.1,8.6,12.3,14.2,7.4,66.2,27.9,31.5,77.9,10.7,19.0,25.6,35.2,30.0,9.7,32.0,2.6,72.4,74.0,74.6
17031804000,9.1,23.4,22.9,7.6,83.9,85.1,2.7,6.4,5.9,8.8,14.0,15.1,8.4,64.5,28.8,31.9,76.2,11.4,21.2,26.4,34.4,29.2,10.7,32.8,2.9,73.4,70.9,74.9
17031804102,5.0,23.0,21.2,8.2,86.0,90.0,2.5,5.0,5.2,8.0,8.0,10.2,7.8,70.1,28.2,33.3,79.1,8.4,16.0,23.2,38.7,33.6,8.4,29.5,2.5,75.6,79.4,77.8
17031804104,4.4,17.9,22.4,6.0,85.0,87.9,1.9,3.9,3.8,7.7,8.6,10.3,6.7,67.7,23.6,29.3,79.7,8.5,15.4,21.7,37.8,34.2,7.4,31.6,1.9,70.9,78.7,75.4
17031804105,4.8,20.5,22.9,6.9,85.7,88.6,2.1,4.6,4.4,8.1,8.3,10.9,7.1,69.1,25.8,31.5,79.6,8.7,15.4,23.3,37.8,34.5,8.0,30.6,2.1,72.9,79.1,76.2
17031804106,5.1,20.4,21.6,6.8,84.9,88.5,2.2,4.6,4.5,7.9,9.2,11.3,7.4,68.1,25.5,30.9,79.4,8.8,16.6,23.0,37.2,33.5,8.2,31.8,2.2,72.8,77.2,76.1
17031804108,4.8,10.0,25.7,3.1,81.5,81.3,1.3,2.3,2.0,7.2,11.6,10.7,4.2,65.5,15.6,19.6,81.2,9.2,14.4,19.9,36.7,32.7,5.6,34.0,1.1,56.7,74.1,70.1
17031804109,7.5,26.9,19.6,9.2,84.5,88.5,3.0,6.7,6.8,8.6,10.3,12.7,9.4,67.7,33.1,36.0,77.7,9.5,19.9,25.3,35.9,30.4,10.4,30.6,3.2,78.0,74.4,78.3
17031804201,4.9,22.8,20.0,8.0,85.0,89.8,2.5,4.9,5.3,7.9,8.1,10.0,8.2,69.0,28.9,33.8,79.5,8.3,16.3,22.7,37.7,33.3,8.5,29.9,2.5,76.4,78.7,78.1
17031804202,5.2,21.5,21.3,7.4,85.4,88.9,2.3,4.9,4.8,8.1,9.0,11.0,7.7,69.0,26.9,32.2,79.5,8.7,16.3,22.9,37.3,33.2,8.3,30.4,2.3,74.1,77.9,76.8
17031804305,8.7,18.4,24.5,5.2,83.0,83.1,2.1,5.4,4.2,8.9,18.3,16.7,7.6,62.5,24.7,28.4,77.3,12.0,21.9,27.3,31.5,29.5,10.0,35.1,2.2,67.4,67.8,71.9
17031804306,14.8,21.8,22.6,5.6,80.3,81.0,2.8,7.5,6.0,9.6,24.3,20.6,9.9,56.8,27.9,30.5,75.7,14.3,27.9,31.6,27.9,25.3,13.3,36.5,3.1,69.1,58.8,71.8
17031804308,10.5,19.4,22.2,5.5,80.4,82.7,2.3,5.8,4.7,8.8,17.0,18.0,8.1,60.7,25.0,28.4,77.1,12.0,23.3,26.0,31.7,27.4,10.4,36.0,2.5,68.8,64.9,72.4
17031804309,9.8,17.8,24.5,5.0,81.5,81.0,2.2,5.3,4.4,8.6,21.1,16.7,7.9,60.3,24.9,28.3,77.1,12.0,23.0,27.7,30.9,28.3,10.1,35.4,2.3,66.7,65.7,71.4
17031804310,7.2,17.8,23.3,5.3,82.4,84.7,2.0,4.7,4.0,8.2,14.2,14.9,7.4,63.4,24.0,28.5,77.9,10.5,20.0,24.5,34.1,30.9,8.9,34.6,2.1,68.5,70.9,73.0
17031804311,6.7,17.6,22.1,5.3,82.6,85.0,2.0,4.5,4.0,7.8,14.5,14.0,7.7,64.0,25.3,29.4,78.8,9.8,19.8,24.3,33.6,30.9,8.7,34.6,2.1,69.7,71.2,73.6
17031804403,11.0,20.7,21.3,5.8,80.8,83.7,2.6,6.2,5.3,9.0,18.5,16.9,9.1,60.9,27.0,29.9,78.0,12.1,24.2,28.0,30.8,26.7,11.2,35.3,2.8,70.8,64.9,73.6
17031804404,12.9,19.0,22.5,4.9,80.2,81.5,2.5,6.2,5.0,9.0,26.1,18.5,9.4,56.5,26.0,29.2,76.8,13.0,27.2,29.9,28.0,25.8,12.0,36.3,2.7,67.4,60.2,71.2
17031804405,13.3,15.7,23.1,4.0,82.0,78.9,2.2,4.9,3.9,9.2,28.3,18.1,8.1,55.3,24.9,26.0,78.0,13.3,26.8,31.1,27.8,23.5,10.9,37.8,2.3,62.8,59.4,70.7
17031804406,13.0,18.3,22.2,4.6,80.2,80.8,2.5,5.9,4.7,9.0,24.9,19.0,9.3,56.2,25.5,28.2,76.5,13.2,27.1,30.0,27.8,25.8,11.9,37.4,2.6,66.6,59.3,71.1
17031804505,9.3,19.5,25.0,5.6,83.4,82.5,2.2,5.7,4.4,9.2,15.0,17.5,7.2,63.0,25.1,28.5,77.5,12.3,20.7,27.5,32.1,28.7,10.0,34.7,2.4,67.8,68.4,72.2
17031804506,6.7,21.3,21.7,7.0,83.9,87.2,2.4,5.2,4.9,8.3,11.3,13.0,7.9,66.1,27.2,31.3,78.0,9.7,18.8,24.2,35.5,30.4,9.2,32.6,2.5,72.9,74.5,75.7
17031804507,6.3,17.9,22.7,5.8,83.6,85.9,2.0,4.3,4.0,7.8,12.0,13.2,6.9,67.2,23.7,28.1,78.6,9.5,18.0,23.3,35.8,31.5,8.2,33.7,2.0,69.1,73.6,73.7
17031804508,15.4,18.0,22.2,4.1,78.2,76.9,2.5,6.5,4.7,9.8,26.7,21.9,9.2,53.8,26.0,27.7,77.2,15.2,29.0,31.8,25.5,23.8,12.9,38.8,2.7,64.5,54.2,70.1
17031804509,11.9,17.9,22.7,4.9,80.6,81.8,2.4,5.4,4.7,8.5,26.1,16.5,8.9,58.1,24.7,27.9,76.7,12.0,26.0,28.8,28.8,24.8,10.8,35.9,2.5,66.6,62.3,71.5
17031804510,16.1,16.8,23.4,4.1,79.4,76.8,2.6,5.9,4.8,9.0,35.7,19.7,9.6,52.1,25.8,28.2,75.6,14.2,31.0,32.6,25.6,23.5,12.7,37.4,2.6,63.5,53.7,68.8
17031804511,15.0,15.0,22.6,3.5,76.9,76.2,2.3,5.1,4.2,8.8,30.7,19.0,8.7,52.1,24.1,26.2,76.9,13.7,28.9,30.1,25.9,23.7,11.4,37.9,2.3,62.2,55.1,69.2
17031804603,7.5,13.8,25.3,4.3,81.4,81.7,1.7,3.6,3.2,7.7,16.1,13.5,5.7,63.6,19.8,23.5,78.8,10.2,18.2,23.5,34.2,28.9,7.4,34.5,1.7,62.6,70.3,70.9
17031804606,6.2,21.0,22.7,6.8,84.1,86.9,2.2,5.1,4.7,8.4,9.8,12.9,7.5,66.1,26.8,31.4,78.9,9.8,17.6,23.9,36.1,30.5,9.0,32.1,2.3,72.5,75.8,75.5
17031804607,6.4,20.9,22.6,6.5,83.2,86.5,2.2,5.3,4.7,8.5,10.9,13.7,7.9,66.0,26.5,31.2,78.3,10.2,18.6,24.2,34.8,31.8,9.1,32.9,2.4,72.5,74.1,75.3
17031804608,7.0,20.2,21.3,6.4,82.9,86.4,2.3,5.0,4.7,8.2,12.2,13.1,8.0,65.3,26.2,30.3,78.7,9.6,19.2,24.0,35.5,30.6,9.0,33.0,2.4,72.1,72.8,75.2
17031804609,5.1,17.6,21.5,5.8,82.5,87.1,2.0,3.9,3.9,7.5,10.1,11.2,7.2,66.9,23.4,28.8,79.4,8.7,16.8,21.1,36.4,33.0,7.5,32.7,1.9,71.2,76.0,75.0
17031804610,6.7,22.8,20.6,7.7,83.6,87.5,2.5,5.4,5.3,8.2,11.2,12.8,8.1,68.2,27.6,31.4,78.0,9.5,19.2,23.9,35.9,30.7,9.2,32.1,2.7,74.8,73.9,76.3
17031804611,5.7,22.4,22.0,7.6,84.9,87.8,2.4,5.2,5.0,8.2,9.6,12.2,7.7,69.6,28.0,32.3,79.1,9.3,17.2,23.9,36.8,32.2,8.7,31.2,2.5,74.6,76.6,76.4
17031804701,8.7,19.3,20.7,6.4,80.9,82.7,2.5,4.8,5.0,8.0,15.2,12.8,7.8,64.0,27.7,29.4,78.7,9.9,20.8,23.5,34.3,26.8,9.0,33.5,2.6,72.8,69.7,74.6
17031804705,7.4,18.6,22.1,5.5,82.5,84.4,2.2,4.9,4.3,8.4,14.2,14.5,8.0,63.9,25.5,29.1,78.7,10.6,20.1,25.7,33.3,31.4,9.2,34.9,2.2,70.1,69.8,73.9
17031804706,6.5,22.3,21.9,7.2,83.4,86.8,2.5,5.6,5.3,8.5,10.8,13.0,8.3,67.0,28.5,32.7,78.8,10.0,18.5,24.5,35.7,32.2,9.4,32.0,2.6,74.5,74.5,76.1
17031804709,11.7,24.4,18.8,8.1,79.1,84.7,3.1,6.7,7.0,8.5,17.2,14.6,9.6,60.2,29.7,31.3,76.6,10.9,25.1,24.3,32.0,23.8,11.3,33.7,3.6,75.7,66.4,76.2
17031804710,6.7,20.7,23.4,6.4,83.9,86.2,2.3,5.3,4.7,8.6,11.7,14.2,7.7,66.2,26.0,30.4,78.9,10.5,18.8,25.6,34.3,31.1,9.3,33.1,2.4,71.6,73.3,74.6
17031804711,7.9,16.9,22.0,4.8,80.8,83.3,2.1,4.5,3.9,8.3,15.3,14.3,7.5,62.4,23.2,26.9,79.2,10.8,20.5,25.0,32.3,29.0,9.0,35.3,2.1,67.7,68.5,73.0
17031804712,6.4,19.0,23.3,5.8,82.6,85.1,2.1,4.8,4.2,8.4,11.8,13.7,7.3,65.6,25.1,29.6,79.3,10.4,18.5,24.4,34.5,31.3,9.0,33.6,2.1,70.3,73.3,74.2
17031804713,6.6,12.9,24.9,4.2,80.3,80.7,1.6,3.3,2.9,7.6,12.7,12.3,5.0,66.4,18.9,23.0,79.1,9.8,15.9,20.7,36.8,32.4,6.7,33.5,1.5,62.2,72.6,70.7
17031804714,7.7,19.7,23.7,5.9,83.0,84.8,2.3,5.3,4.6,8.7,13.0,15.1,7.6,64.0,24.6,28.6,77.9,11.2,19.3,26.2,34.5,30.7,9.4,34.0,2.3,69.4,70.8,73.5
17031804715,13.0,18.4,20.4,4.6,77.1,80.7,2.5,6.0,5.0,8.9,24.0,18.5,9.9,55.2,26.2,29.0,76.7,12.8,27.4,27.9,27.6,25.9,11.9,37.6,2.7,68.4,58.5,71.9
17031804716,6.5,17.7,21.3,5.1,80.5,85.4,2.1,4.5,4.1,7.8,14.0,13.2,8.3,62.2,24.6,29.5,79.0,9.7,19.9,23.3,33.1,31.0,8.8,34.5,2.1,70.4,71.2,74.1
17031804803,7.2,19.3,23.4,5.8,83.1,84.7,2.2,5.1,4.4,8.5,12.3,14.7,7.4,64.4,25.0,29.3,78.6,10.7,18.9,25.0,34.5,30.5,9.2,33.7,2.2,69.9,71.8,73.6
17031804804,8.6,18.8,23.0,5.6,81.8,82.8,2.3,5.2,4.5,8.7,15.5,15.5,7.8,63.2,25.0,28.6,77.3,11.3,20.8,25.5,33.3,29.4,9.6,34.4,2.3,69.1,68.8,73.0
17031804805,7.0,21.0,22.8,6.6,83.6,85.5,2.3,5.4,4.9,8.5,12.4,14.0,7.9,66.3,27.2,31.1,78.0,10.4,19.3,25.0,34.8,31.1,9.4,33.0,2.4,72.3,72.9,74.9
17031804806,9.5,18.6,22.8,5.0,80.9,81.9,2.2,5.4,4.4,8.8,19.0,16.9,8.4,60.7,26.5,29.1,77.5,11.9,23.6,27.4,30.3,28.4,10.1,36.2,2.4,69.1,65.5,72.8
17031804807,8.8,20.9,23.4,6.3,82.6,84.2,2.3,6.0,4.9,9.0,14.4,16.4,8.0,64.1,26.8,30.5,76.8,11.7,21.1,26.1,33.9,30.1,10.2,34.4,2.5,71.0,69.8,73.7
17031804808,6.7,23.4,22.3,7.5,84.7,87.5,2.5,6.0,5.5,8.6,10.8,13.9,8.3,68.0,28.9,33.0,78.0,10.2,18.8,25.8,35.4,32.2,9.7,31.9,2.7,74.3,74.5,76.1
17031804809,6.1,22.2,22.5,7.3,84.2,87.3,2.4,5.5,5.0,8.4,10.4,13.0,7.8,68.0,27.4,32.0,78.7,9.8,17.7,24.5,35.6,31.8,9.1,31.5,2.5,73.8,75.5,76.0
