CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031062900,Illinois,Cook County,1,3976,1961,0,0.0,0.0,0,0,0,0,1,0,7.4,181250.0,0,1,0,1,0,1,,2081.0,,,281.0,,2081.0,52.33,281.0,7.08,198.0,4.98,76.0,1.91,1875.0,47.16,44.0,1.11,81.0,2.04,0.0,0.0,3.0,0.08,77.0,1.94,128.0,3.21,273.0,13.94,9.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,514.0,391.0,118.0,3584.0,84.0,160.0,0.0,5.0,143.0,223.0,479.0,15.0
17031063000,Illinois,Cook County,1,2973,1724,0,34.0,1.14,0,0,0,0,1,0,8.1,193214.0,0,1,0,1,0,1,,559.0,,,72.0,,559.0,18.82,72.0,2.44,32.0,1.08,14.0,0.46,466.0,15.68,18.0,0.6,44.0,1.48,0.0,0.0,0.0,0.0,31.0,1.06,52.0,1.74,144.0,8.34,2.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,393.0,202.0,93.0,2536.0,84.0,239.0,3.0,4.0,107.0,213.0,656.0,8.0
17031063100,Illinois,Cook County,1,2173,1347,0,0.0,0.0,0,0,0,0,0,0,8.0,144856.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,171.0,66.0,1883.0,45.0,122.0,4.0,7.0,112.0,125.0,538.0,19.0
17031063200,Illinois,Cook County,1,6345,4153,0,298.0,4.7,0,0,0,0,0,0,8.4,139489.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,362.0,1024.0,5326.0,257.0,492.0,2.0,18.0,250.0,429.0,1898.0,12.0
17031063301,Illinois,Cook County,1,2641,1852,0,0.0,0.0,0,0,0,0,0,0,15.3,116563.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.0,128.0,328.0,2096.0,176.0,251.0,2.0,2.0,114.0,165.0,1098.0,186.0
17031063302,Illinois,Cook County,1,3996,2784,0,0.0,0.0,0,0,0,0,0,0,7.3,128681.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.0,220.0,370.0,3380.0,124.0,334.0,4.0,10.0,144.0,229.0,1296.0,0.0
17031063303,Illinois,Cook County,1,1201,935,0,0.0,0.0,0,0,0,0,0,0,5.9,145577.0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,34.0,481.0,1073.0,17.0,84.0,0.0,1.0,26.0,28.0,424.0,16.0
17031063400,Illinois,Cook County,1,2180,1250,0,0.0,0.0,0,0,0,0,0,0,5.7,197604.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,143.0,54.0,1874.0,90.0,111.0,5.0,5.0,95.0,145.0,440.0,0.0
17031070101,Illinois,Cook County,1,3796,2725,0,0.0,0.0,0,0,0,0,0,0,15.9,137882.0,0,0,0,0,0,0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,860.0,215.0,672.0,3321.0,77.0,263.0,1.0,4.0,130.0,160.0,1189.0,69.0
17031070102,Illinois,Cook County,1,2413,1706,0,94.0,3.9,0,0,0,0,0,0,6.6,250001.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,108.0,158.0,2063.0,67.0,182.0,1.0,2.0,98.0,150.0,867.0,17.0
