,CensusTract,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
21589,17031711500,2539,835,0,0.0,0.0,0,1,0,0,0,1,25.9,47198.0,0,1,0,1,0,0,0,0,1301.0,51.23,742.0,29.23,340.0,13.41,226.0,8.91,3.0,0.12,1286.0,50.65,0.0,0.0,0.0,0.0,2.0,0.07,10.0,0.39,10.0,0.4,99.0,11.87,164.0,19.59,1331.0,639.0,451.0,13.0,2506.0,0.0,0.0,2.0,18.0,15.0,177.0,326.0
21590,17031720100,3300,1171,0,2.0,0.06,0,0,0,0,0,0,0.3,168281.0,0,0,0,0,0,0,0,0,59.0,1.78,3.0,0.1,12.0,0.36,9.0,0.28,25.0,0.75,30.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.11,4.0,0.11,0.0,0.0,0.0,0.0,182.0,850.0,508.0,2068.0,1107.0,13.0,0.0,0.0,112.0,148.0,8.0,0.0
21591,17031720200,4016,1536,0,10.0,0.25,0,0,0,0,0,0,10.0,92349.0,0,1,0,1,0,0,0,0,2538.0,63.21,275.0,6.85,638.0,15.89,296.0,7.37,1011.0,25.18,1423.0,35.44,15.0,0.39,1.0,0.02,10.0,0.25,78.0,1.93,102.0,2.54,48.0,3.12,39.0,2.52,517.0,982.0,456.0,1597.0,2243.0,19.0,1.0,18.0,138.0,166.0,73.0,67.0
21592,17031720300,3723,1313,0,3.0,0.08,0,0,0,0,0,0,5.3,132386.0,0,1,0,1,0,0,0,0,894.0,24.03,92.0,2.48,254.0,6.82,125.0,3.35,730.0,19.62,131.0,3.52,10.0,0.27,3.0,0.07,2.0,0.04,19.0,0.51,69.0,1.85,5.0,0.38,0.0,0.0,481.0,939.0,498.0,2488.0,1103.0,35.0,5.0,4.0,88.0,197.0,34.0,0.0
21593,17031720400,1924,712,0,3.0,0.16,0,0,0,0,0,0,2.1,137719.0,0,1,0,1,0,0,0,0,1252.0,65.05,76.0,3.96,367.0,19.06,138.0,7.2,1143.0,59.42,59.0,3.08,6.0,0.33,0.0,0.0,5.0,0.27,38.0,1.96,87.0,4.5,21.0,2.94,17.0,2.32,118.0,558.0,208.0,1719.0,131.0,9.0,0.0,9.0,56.0,131.0,29.0,24.0
21594,17031720500,2166,789,0,0.0,0.0,0,0,0,0,0,0,1.7,154455.0,0,1,0,1,0,0,0,0,1135.0,52.39,59.0,2.73,356.0,16.42,106.0,4.9,1095.0,50.57,21.0,0.98,3.0,0.14,0.0,0.0,2.0,0.09,13.0,0.61,31.0,1.42,15.0,1.89,2.0,0.25,115.0,629.0,228.0,2051.0,63.0,7.0,0.0,2.0,43.0,101.0,32.0,4.0
21595,17031720600,1756,629,0,0.0,0.0,0,0,0,0,0,0,2.4,115313.0,0,1,0,1,0,0,0,0,1212.0,69.02,70.0,3.99,346.0,19.68,148.0,8.42,994.0,56.59,185.0,10.56,11.0,0.63,0.0,0.0,0.0,0.0,22.0,1.25,43.0,2.44,12.0,1.89,14.0,2.21,122.0,475.0,214.0,1401.0,303.0,13.0,0.0,0.0,39.0,60.0,21.0,20.0
21596,17031720700,3149,1396,0,0.0,0.0,0,0,0,0,0,0,5.5,100395.0,1,1,1,1,1,0,0,0,3149.0,100.0,482.0,15.3,711.0,22.58,319.0,10.13,1061.0,33.69,1958.0,62.18,18.0,0.57,4.0,0.13,5.0,0.16,103.0,3.27,112.0,3.56,96.0,6.9,83.0,5.97,475.0,711.0,319.0,1061.0,1958.0,18.0,4.0,5.0,103.0,112.0,97.0,80.0
21597,17031730100,2424,900,0,0.0,0.0,0,1,0,1,1,1,12.2,65913.0,0,1,0,1,0,0,0,1,2424.0,100.0,895.0,36.92,554.0,22.85,502.0,20.71,9.0,0.37,2370.0,97.77,0.0,0.0,0.0,0.0,7.0,0.29,38.0,1.57,21.0,0.87,107.0,11.91,250.0,27.77,972.0,554.0,502.0,9.0,2370.0,0.0,0.0,7.0,38.0,21.0,107.0,248.0
21598,17031730201,5941,2350,0,3.0,0.05,0,0,0,0,0,1,28.9,44111.0,0,0,0,0,0,0,0,0,57.0,0.95,26.0,0.43,10.0,0.16,9.0,0.15,0.0,0.0,57.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.19,2621.0,1357.0,1001.0,14.0,5845.0,2.0,0.0,6.0,74.0,39.0,688.0,669.0
21599,17031730202,3115,1027,0,189.0,6.07,0,0,0,0,0,0,11.9,70491.0,0,1,0,1,0,0,0,0,2985.0,95.84,843.0,27.07,647.0,20.76,671.0,21.54,12.0,0.39,2934.0,94.2,3.0,0.1,0.0,0.0,2.0,0.05,34.0,1.1,15.0,0.48,82.0,7.97,136.0,13.25,1077.0,677.0,692.0,16.0,3058.0,3.0,0.0,2.0,36.0,21.0,101.0,155.0
21600,17031730300,1166,384,0,0.0,0.0,0,0,0,0,0,1,15.3,67604.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,273.0,192.0,5.0,1153.0,1.0,0.0,0.0,7.0,3.0,91.0,104.0
21601,17031730400,3514,1271,0,11.0,0.31,0,0,0,0,0,0,13.0,82857.0,0,1,0,1,0,0,0,0,1860.0,52.92,479.0,13.63,389.0,11.07,400.0,11.37,23.0,0.67,1816.0,51.68,0.0,0.0,0.0,0.0,1.0,0.04,19.0,0.55,18.0,0.51,69.0,5.42,162.0,12.78,1150.0,759.0,739.0,38.0,3409.0,0.0,0.0,2.0,65.0,44.0,142.0,310.0
21602,17031730500,4388,1539,0,3.0,0.07,1,1,1,1,1,1,19.9,62164.0,1,1,1,1,1,0,0,1,4388.0,100.0,1524.0,34.74,1043.0,23.77,882.0,20.1,22.0,0.5,4302.0,98.04,4.0,0.09,0.0,0.0,22.0,0.5,38.0,0.87,57.0,1.3,195.0,12.68,254.0,16.48,1407.0,1043.0,882.0,22.0,4302.0,4.0,0.0,22.0,38.0,57.0,207.0,250.0
21603,17031730600,3614,1265,0,4.0,0.11,0,1,0,1,1,1,30.7,48810.0,0,1,0,1,0,0,0,1,3595.0,99.47,2058.0,56.94,903.0,24.97,734.0,20.32,36.0,1.0,3496.0,96.75,1.0,0.03,4.0,0.11,9.0,0.25,49.0,1.35,53.0,1.46,208.0,16.41,254.0,20.08,2039.0,907.0,738.0,36.0,3515.0,1.0,4.0,9.0,49.0,53.0,190.0,238.0
